,precision,recall,f1-score,support
BENIGN,0.9982361255783244,0.999472568804712,0.9988539645551868,419012.0
Bot,0.95,0.38974358974358975,0.5527272727272727,390.0
DDoS,0.9999218139171228,0.9990235519275085,0.9994724810972393,25603.0
DoS GoldenEye,1.0,0.9708313077297035,0.9851998026640355,2057.0
DoS Hulk,0.9998834362979369,0.9925655934507795,0.996211076431734,34569.0
DoS Slowhttptest,0.9913875598086125,0.9904397705544933,0.9909134385461502,1046.0
DoS slowloris,0.9962546816479401,0.9879294336118849,0.992074592074592,1077.0
FTP-Patator,1.0,0.9966273187183811,0.9983108108108109,1186.0
Heartbleed,1.0,0.5,0.6666666666666666,2.0
Infiltration,0.75,0.42857142857142855,0.5454545454545454,7.0
PortScan,0.9889216328312596,0.9990076630464745,0.9939390615144119,18139.0
SSH-Patator,1.0,0.9114906832298136,0.9536961819658814,644.0
Web Attack � Brute Force,0.6712707182320442,0.826530612244898,0.7408536585365854,294.0
Web Attack � Sql Injection,0.0,0.0,0.0,4.0
Web Attack � XSS,1.0,0.023076923076923078,0.045112781954887216,130.0
accuracy,0.9978379879403364,0.9978379879403364,0.9978379879403364,0.9978379879403364
macro avg,0.889725064554216,0.7343540296473727,0.7639657556666666,504160.0
weighted avg,0.997855829361134,0.9978379879403364,0.9976246751145652,504160.0
