Feature,Importance
Packet Length Std,0.06780439270049175
Avg Bwd Segment Size,0.05958577111485253
Packet Length Variance,0.05863595524003279
Max Packet Length,0.05066586946708278
Bwd Packet Length Std,0.04464034799804724
Average Packet Size,0.04302014608493319
Bwd Packet Length Max,0.041665032328786475
Subflow Fwd Bytes,0.03559719082959806
Total Length of Fwd Packets,0.03256739488509206
Subflow Bwd Bytes,0.03185819497132946
Total Length of Bwd Packets,0.03090500852700293
Avg Fwd Segment Size,0.024122515581658927
Bwd Packet Length Mean,0.02405016952454018
Packet Length Mean,0.020988359934214964
Total Fwd Packets,0.0202985360680473
Fwd Packet Length Max,0.019383520191409973
Bwd Header Length,0.01904622405574275
Subflow Fwd Packets,0.01795357059850715
Idle Mean,0.01697737310787808
Fwd Header Length.1,0.016433061212890523
Fwd Packet Length Mean,0.016280897474508088
Fwd Packet Length Std,0.01624875696150701
Fwd IAT Std,0.015254607939985208
Flow IAT Std,0.015219513870543223
Destination Port,0.015138273528954346
PSH Flag Count,0.015074872038756489
Fwd IAT Max,0.014979800257861105
Fwd Header Length,0.014218886793736086
act_data_pkt_fwd,0.012903964050032034
Init_Win_bytes_backward,0.012322332226291968
Flow Bytes/s,0.012100537728083177
Flow IAT Mean,0.011904272595540031
Total Backward Packets,0.01051962545859013
Fwd IAT Mean,0.010269272264131655
Fwd IAT Min,0.009930624968308384
Flow IAT Max,0.009232186354926473
Init_Win_bytes_forward,0.009196086693827559
Idle Min,0.008582444513301408
min_seg_size_forward,0.008523456307687178
ACK Flag Count,0.008102331561405322
Bwd Packets/s,0.006514702937688194
Fwd IAT Total,0.00626961442003316
Bwd Packet Length Min,0.006269152517489614
Subflow Bwd Packets,0.004892784780813917
Flow Packets/s,0.004612091168683654
Idle Max,0.004610781387549452
Min Packet Length,0.00459628434808798
Fwd Packet Length Min,0.003827903587964434
Fwd Packets/s,0.003755805021774076
Bwd IAT Min,0.0034050307402892963
Bwd IAT Mean,0.003221735024958934
Active Min,0.003154303226294294
Flow Duration,0.0030268761784104726
Active Mean,0.002771671185613256
FIN Flag Count,0.0027435642498682667
Flow IAT Min,0.0025625227323762584
Active Max,0.0018668568454336038
Bwd IAT Max,0.0018650238143279791
Bwd IAT Std,0.0018318492475528228
Bwd IAT Total,0.0018077304640393616
Down/Up Ratio,0.0012727358949917132
URG Flag Count,0.000937149569115897
Active Std,0.0007563932140274793
Idle Std,0.0005152614105909868
SYN Flag Count,0.0003714492528326725
Fwd PSH Flags,0.0003376907408685264
CWE Flag Count,8.91354693314287e-07
Fwd URG Flags,6.661390167946336e-07
RST Flag Count,1.0053449743636859e-07
Bwd PSH Flags,0.0
Bwd URG Flags,0.0
Bwd Avg Bulk Rate,0.0
Bwd Avg Bytes/Bulk,0.0
Bwd Avg Packets/Bulk,0.0
Fwd Avg Packets/Bulk,0.0
Fwd Avg Bytes/Bulk,0.0
ECE Flag Count,0.0
Fwd Avg Bulk Rate,0.0
